formula,target
Ca1 Eu0.35 La1.3 Li6 Nb2 O12,1
Ge3.6 Nd6 Sb12.4,1
Ba2 Ca2 Cu3.18 Hg0.82 O8.26,1
H1.24 Ca10 O25.92 P6 Zn0.3,1
Al1 Er1 Ga1,1
Br2 Ce1 S2 Sb1,0
Co9 Si2 Sm1,0
Ca1.692 Pt2 Sn3.308,1
B1 Co12.6 Fe1.4 Nd2,1
C6 B2 Cs2 F18 N2 O1,1
Bi1 Mo2 O8 Rb1,0
Mn0.2 Ni7.6 O8,1
Bi2 La1 O7 Ta1,1
 Al0.364 Cr1.552 Fe0.467 Mg0.597 Mn0.008 O4 Ti0.004 V0.004,1
Gd2 S4 Yb1,1
K0.89 Nb0.11 O5 P1 Ti0.89,1
B1 Be1 Ta1,1
Pb0.59 Se1 Sn0.41,1
Ba1.5 Ca0.2 Cu3 Nd0.5 O7 Y0.8,1
Ca1.5 F1 Nb2 O6,1
Cr1 F6 Ni1 Tl1,1
Bi0.4 O7 Sn2 Y1.6,1
Co1 Ho2 O14 S2 Te2,0
Li1 O5 Si1 Ta1,0
O10 P2 U2,0
Cu1 Sn3 Zr5,0
Na0.2 O2.87 Si1 Sr0.8,1
Br6 Hg7 P4,0
Ni1 O0.79 Zr3,1
Cu0.978 Ge0.022,1
C12 H51.1 F4 Ge14.8 N6 O35.15,1
C1 Co1 Fe13 Nd2,1
Fe1 Se0.15 Te0.85,1
Ag0.26 S8 V6,1
C4 H8 Cl2 K3 O12 Rh1,0
Ho2 O5 Pd2,0
Li3 O12 P3 Sc2,0
As2 Ca1.5 Na1 Nb2 O12,1
C1 Br3 Eu2 Li1 N2,0
La0.64 Mn1 O3 Sr0.36,1
Cu2 Si2 Sm1,0
O9 Te2 V2,0
Ga5 V2,0
Li1 Nb1 O6 W1,1
Au1 Sn1 Tm1,0
Pd7.72 Te2.19 Zn1.09,1
Cd3 Cs3 O36 P12 V1,1
Co3 Ga16 Gd4,0
Ba1.5 Fe2 O12 P3,1
In41 K17,0
Cu1 Li2 O8 W2,0
Cl4 Mo1 O1,0
Cu0.7 O3 Pr1 Zn0.3,1
 Al1.432 Cr0.554 Fe0.286 Mg0.717 Mn0.003 Ni0.005 O4 Si0.004,1
Co1 Ge2 Nd1,0
Cr2 Mn0.13 Se4 Zn0.87,1
As1 Hf1 Os1,0
Co0.96 Cr2 Se4,1
O1.9 Sc0.072 Yb0.126 Zr0.801,1
Fe16.04 Si0.96 Sm2,1
Cu0.26 Pd1.43 Sn1,1
H4 N2 Yb1,0
Nb2 O13 Te4,0
Ce1 Co1.7 Mn0.3,1
Ba2 Cu1.1 O6.08 Tl1.9,1
Al40.24 Cr6.76 Lu6,1
Ge1 Hg2 Te4,0
B4 Pu1 Tc1,0
Mn0.18 S2 Ti1,1
F1 Fe1 Li1 O4 P1,1
Al0.05 Cr0.3 Ni0.65,1
Co0.91 Fe0.09 Sb0.8 Sn0.2 Ti1,1
C19 O19 Os7 S1,0
Fe0.31 Mg1.69 O6 Si2,1
O2 W1,0
H2 Ca3 O10 Si3,0
Ce1 S7 Tb4,1
Co1 Sb2.91 Te0.09,1
Cr0.1 La3 Li7.1 O12 Zr1.9,1
Al5 I8 La10,1
Pd3 Zn10,1
Cr1.89 S3,1
Co1 Nb1 P1,0
Lu1 Pt1 Si1,0
As1 Cu1 S1,0
Au2 In4 Nd1,0
Cs6 In1 P3 S13.5,1
Ag1 Cl6 Cs2 In0.825 Tb0.175,1
 C0.721 Al5.144 Ca3.13 Cl0.028 K0.02 Na0.85 O27.315 S0.288 Si6.856,1
Cl2 O2 W1,1
Au1 Nd1 Sn1,1
Nd0.2 Th0.8,1
C2 H4 Mn4 O14 P2,0
Ga3.76 Yb1 Zn0.24,1
I6 K2 Tc1,0
Co1.4 Mg1.6 O8 V2,1
As3 Sr4,0
Eu0.6 La0.4 Ni1 O3,1
Ba2 O30 P10 Zn3,0
Ga3.46 O48 Ti21.54,1
Al1 Au1,0
Co0.435 Ni0.435 Se1,1
