,formula,target
249,Ba1.5 O6 Sb1 Sr0.5 Y1,1
250,C1 B2 Ni2 Tb0.272 Y0.728,1
251,Fe13 Sn5 Th4,0
252,Cr0.05 Fe0.95 O2.78 Sr1,3
253,Mo3 O12 Tb2,0
254,Cs1 Cu2 F5,0
255,C3 Cl20 Si8,0
256,O64 V51.6,2
257,As2 Cd2.4 Mn0.6,1
258,Ni1.021 Sn1 Ti1,2
259,C1 Cl15 Rb1 Zr6,0
260,Fe1 Se0.99,2
261,F16 Pd1 Xe2,0
262,Ga2 Ni3 Sm1,1
263,C2 Ca1 Co0.25 Mg0.75 O6,1
264,C1.5 Fe17 Sm2,2
265,Au0.08 Ca1 Cd0.92,1
266,Ba7 Mn3 O20 Ti2 Y2,3
267,Bi1 La2 O4.5,3
268,Al6 Fe11 Nd1 Tb1,1
269,Ba0.8 In1 O6 Sr1.2 Ta1,1
270,Ca1 Mg3 O10 Si3,0
271,Nb1 S2,2
272,Co0.15 Li1 Mn0.4 Ni0.45 O2,1
273,Ge0.3 Pd2 Si1.7 Yb1,1
274,Ag1 As2 Nd1,0
275,Fe2 Mg0.6 O4 Zn0.4,1
276,B4 Nd1,0
277,Ho1 In1 Zn1,0
278,Cs4 P2 Se9,0
279,Cu1 O3 Sr2,0
280,B0.087 Fe1.74 Zr0.174,1
281,Li0.89 Ni1.01 O2,3
282,Ba2 Cu2.768 O6.54 Pr1,2
283,As0.75 In1 Se0.25,1
284,F14 Sb2 Xe1,0
285,S11 Ta2 Tl4,0
286,Ca1 Cu2 Sn2,0
287,C11 O11 Ru4 Te2,0
288,In2 Pt1 Yb1,0
289,Al4 Co1 Gd2 Ge2,0
290,Al5.99 Ca2.9 Fe10.11 Mg0.95 O28,3
291,Co0.01 O1 Zn0.99,1
292,Ag0.5 Ge1 Pb1.75 Se4,3
293,K1.43 Na0.57 O4 S1,1
294,Ba0.2 Eu0.07 O5 Si1 Sr2.73,1
295,Fe1.2 Mn0.8 Nd1 Si2,1
296,Dy1 I1 S1,0
297,Bi2 I2 O11 S1,0
