,formula,target
30597,Hg1 Ti0.75 Zn0.25,1
30598,O4 P1 Tb1,0
30599,Ag7 P3 S11,2
30600,Ba2 Cu3 O6.958 Y1,2
30601,Ge23 Mo13,0
30602,B4 Re0.5 V5.5,1
30603,Mn0.55 Rh1 Sb0.45,1
30604,Co0.3 Cu0.7 Mn1 Sb1,1
30605,As3 La1.5 O12 Sr1.5 Tl1.5,3
30606,Co4 Fe1 Th1,1
30607,Hf1 Mg1 O12 W3,0
30608,Ba1 Fe2 O8 P2,0
30609,Nd2 O6 W1,0
30610,Al0.9 Gd4 Mg0.1 Ni1,1
30611,O9 Rb2 Si3 Th1,0
30612,Al1.625 Co0.375 Tb1,1
30613,Au2 Ho5 Sb1,0
30614,Ni4 Si1 Sm1,0
30615,Al4.42 Cu5.87 Eu1 Ga2.48,3
30616,Ir1 Na1.07 O4 Tb0.93,1
30617,Cu0.89 In0.11,1
30618,Ba2.016 Cu2.975 O6.92 Y1,2
30619,Ni2 P1 Si1,0
30620,F1 O10 Si3 Y3,0
30621,Al1 Cr1 Ge1,1
30622,Nb2 Pd0.88 Se5,2
30623,Ba0.95 Ca0.8 Cu3 La1.25 O7,3
30624,Ca2 Se4 Si1,0
30625,F1 Gd1 Na1 Nb1 O6 Ti1,1
30626,Ce2 F4 S2 Sr1,3
30627,Cl3 Fe11 O30 P2 Te5,0
30628,I4 O12 Sn1,0
30629,B1 Eu1 Pd3,0
30630,Al1.5 Ga0.5 U1,1
30631,Dy1 P1,0
30632,Ni0.95 Pd0.05 Ti1,1
30633,Ce6 Se17 Si4,0
30634,Ag1 Cl6 Cs2 In0.794 Tb0.206,1
30635,Cr1.25 Fe0.5 Te2,3
30636,B6 Nb0.62 Ni20.99 U1.39,1
30637,F20 I4 Sb4,0
30638,Ba1 Fe1 Mn1 Nd1 O5.09,3
30639,Nd1 Pd0.33 Sn2,2
30640,C1 B1 Lu1 Ni1,0
30641,P5 Yb1,0
30642,B5 Ca0.88 F3 Mg0.12 O7,1
30643,B6 Ni20 Ta1.5 V1.5,1
30644,Co15.56 Ho2.16,3
30645,Fe0.5 Mn0.5 Na0.67 O2,3
30646,Fe2.75 Ge1 V0.25,1
30647,Ba1 Fe10.8 In1.2 O19,1
30648,Ba2.7 Ga5.4 Ge3.6 S18,3
30649,F1 Fe1 Na2 O4 P1,1
30650,Pt5 Se4,0
30651,I1 La2 Ni2,0
30652,Ce0.15 Cu1 Nd1.85 O4.02,1
30653,Ag5 Cl1 Se0.4 Te1.6,3
30654,Al2 Ce1 Zn2,0
30655,Fe1 Mo2 S4,0
30656,Ca2 Cu13 In11,1
30657,Sn0.9858 Te1,2
30658,Al2.3 Sr2.7,0
30659,Ni3 Tb1,0
30660,Bi3.92 Fe0.464 O13.04 V1.856,3
30661,Li1 Mo6 S2 Se6,1
30662,B2 Co0.5 Ni12.5 Y3,1
30663,Rh2 Sm3,0
30664,Ba1.66 Ca0.9 Cu2 Hg0.7 O7.4 Sr0.44 Tl1.3,3
30665,Ba1 Br0.537 F1 I0.463,3
30666,Cd1 Na1 Sb1,0
30667,Te1 Tm1,0
30668,Ho3 Ni6 Si2,0
30669,Co1 Er1 Ga5,0
30670,Ca1 Ga1.14 Sn0.86,1
30671,Ba2 F19 K3 Th3,3
30672,Ge4 V0.9 Zr4.1,1
30673,C25 I2 O24 Os10,0
30674,B0.009 Si0.991,1
30675,Ir2 Pu1,0
30676,Al2 Ca1.58 Sb6 Yb3.42,1
30677,Al6 Fe6 Tb1,1
30678,Ga1 Mn3 N1,0
30679,Mg1 Pt1,0
30680,Ba1 Ce0.8 O3 Zr0.2,1
30681,Ag2 K2 S6 Sn2,0
30682,Mn1.44 Sb0.5 Sn0.5,3
30683,B6 Ni21 Sb2,0
30684,Fe3 N0.94,2
30685,As2 O7 Sr2,0
30686,Gd1 Rh1 Zn1,0
30687,As1 Ca0.33 Pd1 Sr0.67,1
30688,Br1 F3 Rb1 Sb1,0
30689,Ba2 Co9 O14,0
30690,As0.94 Mn1 P0.06,1
30691,B3 Ba7 Cl1 Ge1 O13,0
30692,Ag0.99 Cl6 O2 W2,2
30693,Bi4 Mn5 Pd2,1
30694,Er1 P1 S4,0
30695,Al1 Li2 Pt1,0
30696,Al8.08 Ce1.34 Pd3,3
30697,Ba3 Dy4 O9,0
30698,Ga0.86 Nd1 Si1.14,1
30699,Ba1 O3 Pu1,0
30700,Al1.972 Co0.071 Mg0.93 O4,3
30701,Pt5.12 Zn20.47,3
30702,Ag1 In17 Pb8 S34,3
30703,Al0.05 Co0.15 Li0.99 Ni0.82 O2.08,1
30704,C1 Gd3 In1,0
30705,B5 K2 Na1 O10 Zn1,0
30706,Na4 Ni7 O24 P6,0
30707,Cl3 Na20.9163 O40 S10 Zn1,3
30708,Br6.66 Cl2.34 Cs3 Sb2,1
30709,C3 As1 N3,0
30710,Fe0.338 Mg9.292 O14 Si2.134,3
30711,Co0.75 Gd1 O3 Ti0.25,1
30712,Cs3 Nb9 O32 Te4,0
30713,Be5.11 Rh0.79,2
30714,Cr1 Fe1 Zr1,1
30715,Co0.5 Ni0.5 Se1,1
30716,Cd0.3 Sn0.7,1
30717,Co2 O1 Zr4,0
30718,O10 Rh3 Sr4,2
30719,Ba2 Fe1 Mn0.5 O5.72 W0.5,3
30720,Pb10 Pr11,0
30721,Bi3 Br3 O4 Sr1,1
30722,Cu0.9807 Ga0.0193,1
30723,Ir3 S8,0
30724,Bi1.36 Cr0.45 O6.355 Ti1.82,3
30725,Al1.8 O4 Si0.2 Sr0.9,3
30726,Al5.5 Ni3 Si1.5,1
30727,Ba6 Cl2 O12 Ru3,0
30728,Cl4 In0.35 Li1.65 Mn0.65,3
30729,Rh1 Sn1 Ti1,1
30730,Ge10 Ni4 Yb5,0
30731,Ba1 Cl2 Cu2 O6 Te2,0
30732,B2 Eu1 Ir2,0
30733,Ge2 Lu1 Ni1,0
30734,Cl7 I1 S1,0
30735,Br36 Ru4 Y20,0
30736,Al1 Cr1 Zr1,1
30737,Ba4 Cu0.5 Na1 O8 Pt1.5,3
30738,Na1 O7 P2 V1,0
30739,B4 O12 Sr3 Yb2,3
30740,Bi1 I1 O4,0
30741,Al9 Ca0.53 Sr4.47,1
30742,Bi1.768 F4 Fe1 O2,2
30743,Re4 Th1 Y1,1
30744,Ca1 K2 O10 Si4,0
30745,Dy3 Os1,0
30746,La0.875 Mn1 O3 Sr0.125,1
30747,Ba1 Bi0.35 O3 Pb0.65,1
30748,B2 Mg3.17 Ni6.83,1
30749,Ge0.5 Ni0.8 O4 Ti0.5 Zn1.2,1
30750,Fe2 O18 Se6 Sr3,0
30751,P3 Tl1,1
30752,Co0.99 Li1.01 O4 P1,1
30753,Cs2 Pt3 Se4,0
30754,C1 B1 La1,0
30755,Pd1.71 Pt1.29 Sn1,1
30756,Ga2.924 Ge3.876 Y2,3
30757,Fe8.76 Mo2.72 Nd1,3
30758,Ag4 As10.23 Pb20.21 S58 Sb13.56,3
30759,B6 Nd1,0
30760,Bi1 Fe13 Pr6,0
30761,Ge1 Sb3 Zr5,0
30762,Ho1 Te1,0
30763,Ba4 Ga4 S12 Sn1,1
30764,Gd4 Ge3 S12,0
30765,Ga1 Mg1.68 O11 V3 Zn0.32,1
30766,Cu1 Fe0.99 Mg0.01 O2,1
30767,Al4 Cs4 O48 Si20,1
30768,Li2 Mg2 O11 Si4,0
30769,Cu2 Fe1 O7.32 Sr2 Y1,3
30770,Cu2 Eu0.25 In0.5 Yb0.25,1
30771,C2 Ca0.63 Ce0.38 Na0.38 O6 Sr0.63,1
30772,Al4 Ce1 Nd1,1
30773,B2 Fe1 Ir2.96 Ru2.04 Sc2,1
30774,N1 Tb3 Te3,0
30775,F6 Li3 Ti1,0
30776,B4 F2 O11 Tb4,0
30777,Ca1 Co0.3 Mn6.7 O12,1
30778,Bi1 Pb3 Pt1,1
30779,Cr1 Rh2 Se4,0
30780,Al92 Na17.81 O384 Si100 Tl74.18,3
30781,Li0.99 O3.98 V1 Zn1,3
30782,Ba1.001 Ca1.999 Cu2 Fe2 O5 S2,1
30783,Al4 Ba6 F24,0
30784,Fe0.6 Li0.6 O5 Ti1.8,1
30785,Ce1 Ga1.6 Sn0.4,1
30786,Sc0.55 Th0.45,1
30787,Co1 Ge1.5 Sb0.075 Te1.425,1
30788,F6 Fe1 Na1 Sr1,0
30789,Cs3 Eu1 F2 O10 Si4,0
30790,Li1 Sn3 Tb5,0
30791,Hf1 Nd2 S5,0
30792,Li0.33 S2 Ti1,0
30793,Ge1 S4 Tl4,0
30794,Ba2.5 Bi1.5 Cu2 La1 O8.24,3
30795,I5 K2 Na1 O14,0
30796,Mn3.03 O16 Rb1.44 Ti4.97,3
30797,Cr1 I6 Tl4,2
30798,Ba1.5 Cu3 La1.5 O7.37,3
30799,Ba3 Sb4 Sn3,0
30800,Ba0.96 Dy0.04 K1 O4 V1,1
30801,F1 Na3 O4 W1,0
30802,Cu1 In1 S2,1
30803,Ca1 O3 Tc1,0
30804,C6 Cr16 Fe6 Ni1,1
30805,Li1 Mg1 Pd1 Sb1,0
30806,O12 S3 Y2,0
30807,Ga0.9 Mn1.05 Nb1.05,1
30808,La2 Mg0.444 O7.44 Zr2,3
30809,Er1 Ni1 Si2,0
30810,Mg0.25641 Nb0.51359 O3 Pb0.99 Ti0.23,3
30811,In1 Nd4 Ru1,0
30812,Cu3 Ga5 La2,1
30813,Ge0.525 Li3.53 O4 P0.175 V0.3,3
30814,Co5 Th1,0
30815,Mn0.29 Se1 Zn0.71,1
30816,Li0.95 Na0.05 Nb1 O3,1
30817,I1 N1 Sr2,0
30818,Gd2 Ge5 Ru3,0
30819,Ca1 Li1 O4 P1,0
30820,Ni16 Si7 Zr6,0
30821,Ir1 Ni1,1
30822,Nb5.19 Zn7.81,1
30823,Ga4 O19 Zn13,3
30824,Nb0.06 Ni0.94,1
30825,Cu3 O8 Pb2 Sm1 Sr2,0
30826,Cd1 Co1 Dy4,0
30827,La1.52 Ni1 O3.86 Sr0.38,3
30828,Al0.34 Fe1.66 K1 Li3 Na2 O30 Si12,3
30829,Re5 Si3,1
30830,B1 Gd1 O3,2
30831,K2 O8 Pb1 S2,0
30832,Nb1.09 S2,2
30833,Ag0.22 Al1.04 Li1.75,1
30834,K2 O6 S4,0
30835,Cu0.23 Hg0.65 Se1 Sn0.12,1
30836,Ca0.134 O1.7 Zr0.866,3
30837,Cs0.23 Nb0.09 O3 W0.91,3
30838,Ce1 Fe4 Pu1,1
30839,F6 Ti1 Tl3,0
30840,Er1 Ga4 V2,0
30841,B1 Fe11 Gd2 Ni3,1
30842,Mg0.206 Nb0.414 O3 Pb1 Ti0.38,3
30843,Lu5 Rh4 Si10,0
30844,Mn3 Sn2,0
30845,Co2.853 Fe0.147 In2 S2,1
30846,Ca1 O5 Si1 Sn0.8 Ti0.2,1
30847,O3 Sr1 Ti0.45 Zr0.55,1
30848,Cr0.5 Ge1 S7 Y3,2
30849,Al15 Ge4 Ni3,0
30850,Ag51 Ce14,2
30851,Ce1 Ge1.68 Pd0.32,1
30852,Al9 B1 O19 Si2,3
30853,B1 In2 O12 P3,0
30854,Be3 F12 K2 Zn2,0
30855,Fe0.991 Sn0.006 Zr0.003,1
30856,Lu1 S2 Tl1,0
30857,Sb3 Y4,0
30858,I3 Ru1 Y3,0
30859,Fe2 Pu1 Si2,0
30860,Au1 Lu6 Te2,0
30861,Co1.333 O11.997 Sb2.666 Sr3.999,1
30862,Au1.7 Sn0.3,1
30863,Bi1.8 Dy0.2 O7 Ru2,1
30864,K3 Li1 Si4,0
30865,C17 O17 Ru6 S2,0
30866,O9 Re2 Sm3,0
30867,Dy1 Ga3 Mn0.17,2
30868,Al0.78 Mn1.22 O5.2 Sr2,3
30869,Bi4 Ge1.62 O12 Si1.38,1
30870,Li0.29 Ni1.01 O2,3
30871,Ca0.33 Eu0.27 La0.4 Mn1 O3,1
30872,Ga10 Ge1 O20 Pb3,0
30873,Au2 F8 Zn1,0
30874,Cu6 Dy4 Rb2 S10,0
30875,Cs1 F6 Mn2,0
30876,Fe1 P2 W1,1
30877,Er1 K1 P2 S7,0
30878,Al3 F1 O6 Sr2,2
30879,Ca1 Cr1 Nd1 O4,1
30880,Ba8 Cu5.1 Ge40.2 Sn0.7,3
30881,Br3 Hg3 Sb2 Tl1,0
30882,Nb6 Ni6 P9,2
30883,Cd0.86 Ge4 Mn2 Nd4,2
30884,B6 Ge3 O17 Rb4,0
30885,Cs3 I9 Sb2,0
30886,Ce5 Rh0.453 Si2.547,1
30887,Ce3 Ni0.88 Si3.12,1
30888,Bi2 Cl7 Tl1,0
30889,Au0.099 Ba2 Cu2.901 O6.5 Y1,3
30890,Al8 Co2 Sm1,0
30891,Ag0.89 Al0.04 Sn0.07,1
30892,Cd2 O7 Sb2,0
30893,Fe1 Hf1 Si1,0
30894,Cr1.5 Dy1 Ge6 Mn4.5,1
30895,Ni3 Ti0.1 Y0.9,1
30896,Bi1 Mg1 Na1,0
30897,P1 Pd3,0
30898,Pd1 Sn2 Yb1,0
30899,F1 La1 O3 Se1,0
30900,C1 Sc1,0
30901,B1 Cu2.99 Pt2.01,1
30902,Ba2 Li1 O6 Os1,0
30903,Au2 Bi16 Br18 Sb2,0
30904,Ag0.1 Cu0.9 Mn3 N1,1
30905,Ca0.33 La0.57 Mn1 Nd0.1 O3,1
30906,Te12 Th7,0
30907,Ag8 Ca19 N7,0
30908,Co0.03 Li0.5 Mn0.07 Ni0.91 O2,1
30909,Al1 Cs2 O10 P3,0
30910,Al0.1 Ca0.83 Fe0.34 Mg0.77 Na0.02 O6 Si1.92 Ti0.02,1
30911,Cr0.176 Ga4.846 Ge1 La2.67 O14 Pr0.33,1
30912,N2 Se1 U2,0
30913,Ag0.7 Gd1 Tl0.3,1
30914,Cs2 Cu1 Nb1 Se4,0
30915,Bi2 I9 Rb3,0
30916,Al1 Cu1 K1 O8 P2,2
30917,In1.33 Mn0.67 Tm1,1
30918,B51.74 V0.8,2
30919,Al0.923 Fe1.998 Mn0.366 Na0.413 O12 P3,3
30920,Al4.18 Ba0.09 Mg2 O30 Si10.82,3
30921,Dy1 Fe1 O3,0
30922,Ba0.19496 Er0.00336 Na0.8 Nb0.8 O3 Ti0.16 Zr0.04,1
30923,Al3 As8 Na7 O28,2
30924,Br7 Cs1 Nb3 S1,0
30925,Cr2 O12 S3,0
30926,Ag1 B2,0
30927,Cu0.25 Mo1 O4 Zn0.75,1
30928,As2 Ba1 Cu2,0
30929,Ni8 Sm3 Sn16.33,1
30930,Cu1 Nd1 O2,0
30931,Bi0.995 Ge1 O6 Pr0.005 Sb1,1
30932,Al2 Ce5 Ru3,0
30933,Fe1 Ta1 Te3,0
30934,Al0.333 O40 Ta15 W0.667,1
30935,Au1 Ce1 Ga3,1
30936,Li2 O3 Pr1,0
30937,La0.26 O3.82 Pb0.39 W1,3
30938,Eu0.01 Ge4 O12 Y1.99 Zn1,1
30939,Co2 Ga1 V1,0
30940,Al55.68 Na62.88 O384 Si136.32,3
30941,As2 La4 O3 S6,2
30942,La1 Os4 Sb12,0
30943,O7 Si2 Sr1 Zr1,0
30944,Ge2 Pd2 Th1,0
30945,B2 Gd1 Os2,0
30946,K1.8 Li1.7 Nb5 O15 Pb0.75,3
30947,As19 Er13 Ni24.78,2
30948,B6 Dy4 O15,0
30949,Ga1 Lu1 Ni2,1
30950,Br17 Nb6 S1 Tl3,0
30951, Al0.11 Ca0.78 Fe0.31 Mg0.86 Mn0.01 Na0.01 O6 Si1.91 Ti0.01,1
30952,Bi5 Co0.5 Mn0.5 O18 Sr1 Ti4,1
30953,Nd4 O7 Pd1,0
30954,C1 Ta0.5 Ti0.5,1
30955,Co1.5 Fe1.5 Nd3 O9.25 Sr1,3
30956,Al4 Cu0.34 Mg2 O18 Si5,3
30957,Co0.78 Li0.008 Mn1.25 O4,3
30958,Cr1.3 Cu1 Se4 Ti0.7,1
30959,Br12 Os1 Se2,0
30960,Pb0.94 Te1,2
30961,Ba2 Cu2.7 Fe0.3 O7.09 Y1,3
30962,Al0.53 Ca0.47 Fe0.47 Na0.53 O6 Si2,1
30963,Bi1 Os1 Se1,0
30964,Ge4 Na4 S10,0
30965,As1 Co0.175 Fe0.825 O1 Sm1,1
30966,Ba1 Fe2 Nd1 O5.264,2
30967,B1 Co4 Fe10 Gd1 Pr1,1
30968,Ge3 O25 P6 Si2,0
30969,Pt1 Sn1 Tm1,0
30970,Al1 Ho1 O3,0
30971,Ag8 S6 Si1,2
30972,Fe0.6 O4 Ti0.2331 Zn1.7 Zr0.4669,1
30973,Ba1.7 Ca0.2 Cu3 Nd0.3 O7 Y0.8,3
30974,Ag1 Li0.33 O2 Ru0.67,3
30975,Ba1 Er6 O12 Sr2,2
30976,Al1 Mn1 Na4 O12 P3,0
30977,Dy0.59 Fe5.52 V0.3,3
30978,Pd3 Te2,0
30979,Ca1.445 Pt3 Sn5 Tm0.555,1
30980,Cu2 Pr1,0
30981,Ca3 Mn1 N3,0
30982,Ag1.6 Al2 As3 Na1.4 O12,3
30983,Ba4 Ca0.9 Mn3.1 O11.055,3
30984,La0.99 Mn0.79 O3 V0.2,3
30985,Fe2 Re3,1
30986,As1 Os1 Zr1,0
30987,C1 Al2 Nb3,0
30988,Ba0.225 La0.775 Mn1 O3,1
30989,Mo3 O14 P2 Sr1,0
30990,Cu2.4 Fe0.6 S3.52 Sn1,3
30991,C2 Cl3 Gd4,0
30992,Nd2 O7 Ti0.812 Zr1.188,1
30993,Gd2 In1 Pd2,0
30994,Ba1 Ca0.2 Co2 Gd0.8 O5.5,1
30995,Bi1 O2 Sm2,0
30996,As2 Ba0.99 Cd2 K0.01,1
30997,Cl4 Hf1,0
30998,Cu2 Ga1 Nd1 O7 Sr2,0
30999,Au1 La1 Sb2,0
31000,Na2 O8 S2 Zn1,0
31001,Ce0.8 O1.9 Sm0.2,3
31002,P1 Pr0.68 U0.32,1
31003,Fe0.8 In1.2 Mn1 O4,1
31004,Mg1.746 O4 Ti1.1 Zn0.054,3
31005,Cr0.6 Fe10.8 O19 Sr1 Zn0.6,1
31006,Ni1.7 Si0.3 U1,1
31007,Li1.6 Mg2.4 Mo2.499 O12 V0.501,1
31008,Ce1 Te3,0
31009,Au41.18 Ga30.32 Na13,1
31010,Cs1 O12 P4 Tb1,0
31011,F5 K1 Pd2,0
31012,Bi0.12 Ga5.009 Gd2.91 O12.12,1
31013,O2.9 Pb0.998 Ti0.964,2
31014,Fe0.004 Mg0.996 O1,1
31015,Ba1 Cu0.68 La2 O5 Pt0.32,1
31016,C9.9 B7 Y10.1,1
31017,Cd1 Li6 O12 Se4,0
31018,Mn4 O12 Sm2 Ti2,3
31019,Cu1 Ge1 Ti1,0
31020,Ba1 N6,0
31021,Cs2 I4 O11,0
31022,Cd4 S6 Si1,0
31023,Ce0.88 Lu0.12 O1.94,3
31024,As2 La3 Sb3 Ti1,1
31025,La1 Na2 O7 P1 S2,0
31026,P7 Th1,2
31027,Ni1 O8 Re2,0
31028,Al0.49 Ga0.51 N1,1
31029,Cu2.8 Ga1.2 Sc2,1
31030,Sm1 Sn1 Zn1,0
31031,Ba3 Ga0.22 Hg10.78,1
31032,Cu2 Ho0.667 S2,2
31033,Ca1 Fe0.3 Nb0.3 O3 Ti0.4,1
31034,Bi2 Cl1 O4 Y1,0
31035,Cs2 O2.5 Sb1,0
31036,Au1 In0.22 Sn0.78,1
31037,Ba0.125 La0.875 Mn0.875 O3 Ti0.125,1
31038,Cu1.71 Ni0.14 Ti1,3
31039,Ca1 Cu2 La1.7 O6.07 Sr0.3,3
31040,Cr1.37 Se0.75 Te1.25,3
31041,Ba1 Bi0.05 O3 Zr0.95,1
31042,Bi1 La2 O1.3,2
31043,Mn0.2 Si1 V2.8,1
31044,O6 Sc2 Te1,0
31045,Hg1 Pt2 Se3,0
31046,Eu2 Ge4 Mn1 O12,1
31047,Rh3 S2 Tl2,0
31048,Be1 S1,0
31049,Co1 La0.5 O4 Sr1.5,1
31050,Co0.207 Li0.9565 Ni0.826 O2 Zn0.011,1
31051,Al1 Hf1 Pt2,0
31052,Er4 La1 Se7,1
31053,Lu1 Rh1 Sn1,0
31054,Ce1 O1.695,2
31055,Ba2 Cu4 O8 Pr0.3 Y0.7,1
31056,Ca0.81 Fe1.9 O7 Sr0.44 Tb1.76 Ti0.1,3
31057,Pb0.961 S1,2
31058,Sn2 Ta1,0
31059,B3 I1 O7 Sn3,0
31060,Al0.15 Ge0.85 La1,1
31061,Ca0.5 Mn0.99 Nd0.5 O3 Sc0.01,1
31062,Ba8 Fe0.668 In4.664 O24 U2.668,1
31063,Ba1 F6 Zr1,0
31064,Li1.03 Ni1 O2.05,3
31065,B1 K2 Li3 O14 P4,0
31066,Al12 Fe4 Mg5 Si6 Y5,0
31067,Cs2 F3 K1 O2 Ti1,3
31068,Ca0.96 Mn0.32 O2.56 Si0.64,3
31069,Dy1 Li1 S2,1
31070,La2.1 Ni2.9,1
31071,Se1.8 Sm1,2
31072,Ba5 Cl2 Li1 Mo2 N7,2
31073,Ca0.2 Ce0.8 O4 V1,1
31074,B6 Co21 Sb2,0
31075,Pd0.08 Rh1.92 U1,1
31076,As13 Cu44 Eu7 Sb10,3
31077,Mo3 Na3.8 O12 Zn1.1,3
31078,Cu1 O12 P3 Ti2,2
31079,Cd1 Co3 N1,0
31080,Co1.04 Li0.99 O2,3
31081,Ge1 Ru1,2
31082,Ag2 Co2 Mo3 O12,2
31083,Cu1 Ni2 O8 P2,0
31084,Ce1 Ni0.6 Si1.4,1
31085,Ca0.15 Fe1 La0.85 O3,1
31086,Ba2 Cu4 Ho1 O8,0
31087,Ba1 K2 N4 O8,2
31088,C1 B1 Dy1,0
31089,C12 Fe1 O12 Ru2,3
31090,Al2 Pr0.15 U0.85,1
31091,Co1 La1 O6 Ru1 Sr1,1
31092,Al4 Eu0.02 Lu1.97 Mg0.99 O12 Si1,1
31093,Cs2 P2 Se6 Sn1,0
31094,Ce0.15 O2 Zr0.85,1
31095,Ag0.84 Ge1 Nd3 S7,2
31096,Fe16.29 Ga0.37 Gd2 Ti0.75,3
31097,Al1.5 K1.5 O16 Ti6.5,3
31098,S7 Tm5,2
31099,B18 Cs4 Hg2 Se18,0
31100,Fe0.438 Mg1.562 O6 Si2,1
31101,Co1 Sn2 Tb1,0
31102,Ag1 Dy1 Ge1,0
31103,Bi2 Br1 O4 Tm1,0
31104,Co13 Fe4 Sm2,1
31105,Ba2 Ca2 Cu3 O10 Tl1.88,2
31106,Cr0.113 Fe0.452 Mn0.565 Sb1,3
31107,Ga0.25 Ge0.75 S8 V4,1
31108,Cd1 Cs1 In1 Te3,0
31109,As1 Mn1 Na1 O4,0
31110,Ba5 F19 In3,0
31111,Co0.13 Li1 Mn0.54 Ni0.13 O2,3
31112,Mg1.55 Rh3 Sn5.45,1
31113,Br2 Mo6 S6,0
31114,Ga9 Pt2 Yb3,0
31115,Os2 Sm1,0
31116,Mo2 N2.5 O4.5 Y2,1
31117,In1 P1 Pt5,0
31118,Cs1 Eu0.2 Gd0.8 Mo2 O8,1
31119,Dy1 Ge1 Mn2 Si1,1
31120,Li0.994 Ni1 O2,3
31121,Gd1 Ge1 Hf0.15 Ti0.85,1
31122,Al2 Eu1 Si2,0
31123,N3 Sr4,2
31124,As2 Os1,0
31125,Li1.3333 Mo0.6667 O2,1
31126,O6 P4 Se1,0
31127,Mn1 O6 Sb2,0
31128,Bi0.55 Ni0.275 O3 Pb0.45 Ti0.725,1
31129,Bi1 Fe0.95 Ni0.05 O3,1
31130,P1.25 Pt0.75 Sr1,1
31131,N0.85 Nb1,2
31132,Nb1 O4 S3 Sm3,0
31133,Hg1 Mg2,0
31134,B2 Tc1,0
31135,P1 S1 Tm1,0
31136,Co1 Ni1 P1,1
31137,C0.91 B0.031,3
31138,In1 Nd1 Ni2,0
31139,Cs1 In1 Se6 Sn2,1
31140,Fe5 Nd1,0
31141,Cs2 In1 Na3 O4,0
31142,Mn3 Pr2 S12 Sb4,0
31143,C10 Fe2 O10 Se1 Te1 W1,0
31144,Ga2 Ge4 O14 Sr3,1
31145,N1 Ta1,2
31146,Ba1 O2.975 Sn0.95 Y0.05,3
31147,Cd1 Dy2 Te4,0
31148,Al2 F1 K4 Nb11 O20,0
31149,Li3.018 Nb0.97 Ni2.012 O6,1
31150,Si2 Tc2 Th1,0
31151,Ba1.3 Ca0.7 O4 Si1,3
31152,Cl7 Dy2 Rb1,0
31153,Bi1 Er2 O2,0
31154,B6 Fe1 Lu1 O18 Sr6,1
31155,Au1.334 Cd0.667,1
31156,Cl11 Ir1 S3,0
31157,Ag5 Cl1 S0.2 Te1.8,3
31158,Ca1 N1 Nb1 O2,1
31159,Te3 Y1,0
31160,Na3.4 O12 P2.43 Sc2 Si0.6,3
31161,B2 Nb1,0
31162,Al1 F2 Ge3 K1 Mg1.04 Mn1.96 O10,1
31163,Al1.04 Fe3.12 Zr1.04,1
31164,Fe1 Ga3,2
31165,Hg1 Mo6 S4 Se4,1
31166,Cr0.85 O3 Ru0.15 Yb1,1
31167,Ca0.99 Eu0.01 Mg1 O6 Si2,1
31168,Bi2 La1 O7 Ta1,1
31169,Cd0.97 Mn0.03 S1,1
31170,Pt0.6 Tc1.4,1
31171,Co0.2 Fe0.6 La0.6 O2.8 Sr0.4 Zr0.2,3
31172,B4 Nd2 Ni5,0
31173,Co0.8 La0.8 O6 Ru1.2 Sr1.2,1
31174,Sb3 Zn3.878,2
31175,Ir1 O5.87 Sr2 Zn1,3
31176,Ca3 Ce0.67 Na12 O28 P4 Si4,3
31177,Nb1 O3 Sr0.72,2
31178,Bi12 Mo3 O34 Te1 V2,3
31179,Ce1 O3 Sr1,0
31180,S2 Sn1 Ta1,0
31181,O20 P4 Sn10,0
31182,Ce1 Mg1 Zn2,0
31183,Li1.068 Mn1.932 O3.984,3
31184,As4 S1 Se3,1
31185,O2 Pt1,0
31186,I6 Li2 O18 Ti1,2
31187,Cs1 Ge1 Pr1 S4,2
31188,Ba1.2 In1 O6 Sr0.8 Ta1,1
31189,Cd0.49 In1.99 Li0.25 Na0.32 O12 P3,3
31190,Al1.406 Ca1 Zn0.594,1
31191,La0.983 Ni5.034,3
31192,Cu1.83 Se1,2
31193,Ba12 S23 Sn4,2
31194,Al1 Ni1 Pt2,0
31195,Ce0.6 Cu2.03 Gd1.66 O10 Ru0.97 Sr1.74,3
31196,Ca0.2 Cu2 La1.9 O6.21 Sr0.9,3
31197,Na3 O7 Si2 Y1,2
31198,La2 O6 Te1,0
31199,Au1 Li2 Tl1,0
31200,O10 Pb3 Se1 Te2,0
31201,N1 Nb0.195 O2 Sr1 Ta0.805,1
31202,Eu1 Ge2 Ir1,0
31203,Cl6 Cs11 Na3 O36 V15,2
31204,Ba8 Ge39.8 Zn5.7,2
31205,C6 Mn2 N6 Rb2,0
31206,B6 Pu2 Tc1,0
31207,Ga1 Y1,0
31208,F2 Ra1,0
31209,Mo2.41 Pt1.59,1
31210,La1 Mn1.8 Ni3.2,1
31211,Al1.54 Au2.46 Na2,1
31212,Fe2 Ho1,0
31213,Ca1 Gd2 S4,1
31214,B1 Ge1 O5 Pr1,0
31215,Li0.48 O5 V2,2
31216,Ag2 Ce1,0
31217,O1.93 Y0.15 Zr0.85,3
31218,Fe0.11 O5.16 V2,2
31219,Ag0.2 La0.8 Mn1 O3,1
31220,Br2 Hg2 O6,0
31221,F1 O12 P3 Pb5,2
31222,O1.88 Y0.06 Zr0.94,3
31223,As1 S2,0
31224,Bi2 O6.92 Ru2,2
31225,Cu0.68 Li0.32 Nb3 O8,1
31226,Er7 Rb3 S12,2
31227,B6 Fe13.4 Ir3.84 Pr3.72,3
31228,Cl2 Sn1,0
